Correct Sentenes,Wrong sentences
අම්මා ඇඳුමක් මැසුවේ ය.,හොඳින් පාර තැනුවේ ය.
තාත්තා පලතුරු කෑවා ය.,නිල් පැහැ අහස ගැන්විය.
මාමා නිවසට ආවා ය.,ඊයේ ඉදුණේ ය පලතුරු .
ගුරුතුමා අපට ඉගැන්නුවා ය.,ඉක්මනින් නිවුණේ ය ගින්න .
ගුරුතුමිය අපට උගැන්වූයේ ය.,බිම පෙරළුණේ ය බෝල.
අම්මා පලතුරු කෑවේ ය.,ඉක්මනින්  විසිර වලාකුළු ගියේ ය.
නංගී පාසල් ගියාය.,සෙමින් ගෙවී  කාලය ගියේ ය.
අම්මා පලතුරු කෑවාය.,පිරිසිදු කෙරිණි කාමරය .
සීයා පුවත්පත කියවයි.,ඊයේ  බිඳුණේ ය වීදුරුව.
අපි පාසලට යන්නෙමු.,වේගයෙන් මැකී රූප  ගියේ ය.
මල්ලි ඇඳුමක් අඳියි.,ඊයේ වැටුණේ ය වැස්ස .
මම හයියෙන් කතා කළෙමි.,ඉක්මනින් දැල්වුණේ ය පහන .
මම පාඩම් පොතේ ලීවෙමි,පැහැදිලි ව ඇසුණේ ය ශබ්දය .
මම වාහනය සෙමින් පැදවූවෙමි,එතැන ඇති සතුට  විය.
මම සතුන්ට ආදරය කළෙමි,පෙර දියුණු විද්‍යාව විය.
මම ඔවුන්ට පොත් දුන්නෙමි,දරුවාට මම දුන්නෙමි.
මම ඇය සමග සිනාසුනෙමි,අද නුඹ සිතන්නෙහි.
මම අලුත් ඇදුම් ගත්තෙමි,පාඩම ඔහු අවසන් කෙළේ ය.
මට එය පිළිගත හැක.,නිතර අඬයි ඇය.
ඇය එය එකතු කළාය.,සිනාසුණෙමු අපි.
ඔවුහු ඔහුට උපදෙස් දුන්නෝය.,හෙට නුඹලා වාඩිවන්නහු .
මට ඒ සමඟ එකඟ විය හැක.,හොඳින් ඔවුහු නැටුවෝ ය.
ඇය එයට ඉඩ දෙයි.,දැන් මම යනවා ඇත්තෙමි.
අපි එය නිවේදනය කරමු.,එය නුඹ පිළිගන්නෙහි.
මට සමාව ඉල්ලිය හැක.,අද ඔහු කතා කරන්නේ ය.
අද ඇය පාසලේ  සිටියි.,පිළිතුර ඇය දීමට ඇත.
ඔවුහු එය පිළියෙළ කළෝය.,එතැනට අපි යන්නෙමු.
මට හෙට ආ හැක.,අද නුඹලා ඇසුවහුය.
ඇයට ඔහුගෙන් ඇසිය හැක.,එය ඔවුහු දැනගන්නෝ ය.
ඇය මල් මාලා අමුණයි.,ඉක්මන් මම වන්නට ඇත.
ඔවුහු ඇයව මඟහැරියෝය,පාර නුඹ පෙන්වූයෙහි.
මට එය පිසිය හැක,සෙල්ලම් කරමින් ඔහු සිටියේ ය.
අපි එය පරාජය කරමු,හොඳින් අපි දැන ගතිමු.
ඔවුහු සතුටට පත්විය,එය නුඹලා බාරගත්තහු.
අපි මුදල් ණයට ගත්තෙමු,කෑගසමින් ඔවුහු සිටියෝ ය.
ඔවුහු වේගයෙන්  හුස්ම ගනිති,එහි මල වියළී ගියේ ය.
මට එය ඇරඹිය හැක,පැහැදිලි කරුණ වෙන්නේ ය.
මට එය රැගෙන ආ හැක,ඉක්මනින් පහන් දැල්වුණේ ය.
මට එය සෑදිය හැක,දුර හඬ ඇසෙයි.
ඇය ආහාර මිලට ගනියි,දැන් අදහස ඇති වෙයි.
අපි එය ගණනය කරමු,විකිණෙන්නේ භාණ්ඩ.
ඔවුහු එය රැගෙන යති,තදින් ජනේලය වැසෙයි.
ඔවුන් වංචා නොකරයි,බිම වැටුණේ ය පත්‍ර .
ඇය මා සමඟ තරඟ කරයි,ඉක්මනින් වෙනස්  වර්ණ විය.
ඔවුහු කියවීම දිගටම කළෝය,හෙට නවතින්නේ ය රථය .
අපි එය පිළිබඳ පැමිණිලි කරමු,නිරතුරුව ඉහළ  දුම යයි.
ඔහු ඒ පිළිබඳ ඇඬුවේය,බිම තිබුණේ ය ගල් .
මට දැන් තීරණය කළ හැක,දැන් විසන්ධි විදුලිය  වෙයි.
ඇය මට ඒ පිළිබඳ විස්තර කළාය,ඉක්මනින් වෙනස්  තත්වය වේ.
අපි ඒ පිළිබඳ එකඟ නොවීමු,දැන් තීරණය ඉරණම  විය.
අපි ඔවුන්ට ආරාධනා කළෙමු,මඳින් නදිය ගලා යයි.
ඇය එය සිතෙහි මවා ගනියි,ඉතා නිවස  අඳුරු විය.
ඔවුහු ඔහු ගැන බොරු කීවෝය,හොඳින් සවි මේස කෙරිණි.
ඇය එය අහිමි කරගත්තාය,ඊයේ එය  අපි සෑදුවෙමු.
ඔවුහු ඔහුව හමුවූවෝය,ඔහුව ඔවුහු හමුවූවෝය.
මම එය වැරදි ලෙස ලියමි,එය මම වැරදි ලෙස ලියමි.
අපි ඔවුන්ව ආරක්ෂා කළෙමු,ඔවුන්ව අපි ආරක්ෂා කළෙමු.
ඔවුහු ඇයට දඬුවම් කරයි,ඇයට ඔවුහු දඬුවම් කරයි.
ඔවුහු කතාබහ කිරීම ප්‍රතික්ෂේප කරති,කතාබහ කිරීම ඔවුහු ප්‍රතික්ෂේප කරති.
අපි එය ගායනා කරන්නෙමු,එය අපි ගායනා කරන්නෙමු.
ඇය මුදල් වියදම් කරයි,මුදල් ඇය වියදම් කරයි.
අපි එයින් දුක් වින්ඳෙමු,එයින් අපි දුක් වින්ඳෙමු.
ඔවුහු එය යෝජනා කරති,එය ඔවුහු යෝජනා කරති.
මම ඔහුව පුදුම කළෙමි,ඔහුව මම පුදුම කළෙමි.
මම ඒ පිළිබඳ කතා කරන්නෙමි,ඒ පිළිබඳ මම කතා කරන්නෙමි.
මම බත් දැන් කමි.,බත් මම දැන් කමි.
නුඹ බත් දැන් කන්නෙහි.,බත් නුඹ දැන් කන්නෙහි.
ඔහු බත් දැන් කයි.,බත් ඔහු දැන් කයි.
ඇය තේ දැන් බොයි.,තේ ඇය දැන් බොයි.
අපි බත් දැන් කමු.,බත් අපි දැන් කමු.
නුඹලා බත් දැන් කවු.,බත් නුඹලා දැන් කවු.
ඔවුහු තේ දැන් බොති.,තේ ඔවුහු දැන් බොති.
මම ගීත ගයමි.,ගීත මම ගයමි.
නුඹ ඇඳුම් අඳින්නෙහි.,ඇඳුම් නුඹ අඳින්නෙහි.
ඔහු පාඩම් ලියයි.,පාඩම් ඔහු ලියයි.
ඇය ගමන යයි.,ගමන ඇය යයි.
අපි නිවාස දකිමු.,නිවාස අපි දකිමු.
නුඹලා වැඩ කරහු,වැඩ නුඹලා කරහු.
ඔවුහු මෙහි එති.,මෙහි ඔවුහු එති.
මම පොත කියමි.,පොත මම කියමි.
නුඹ නිතර දුවන්නෙහි.,නිතර නුඹ දුවන්නෙහි.
ඔහු මුදල් ගනී.,මුදල් ඔහු ගනී.
අපි සතුටු වන්නෙමු.,සතුටු අපි වන්නෙමු.
නුඹලා හොඳින් ඉන්නහු.,හොඳින් නුඹලා ඉන්නහු.
ඔවුහු හොඳින් පවතිති.,හොඳින් ඔවුහු පවතිති.
ඇය ගමන ගියා ය.,ගමන ඇය ගියා ය.
මම ගීත ගීයෙමි.,ගීත මම ගීයෙමි.
නුඹ ඇඳුම් ඇන්දෙහි.,ඇඳුම් නුඹ ඇන්දෙහි.
ඔහු පාඩම් ලිව්වේ ය.,පාඩම් ඔහු ලිව්වේ ය.
ඇය මෙහි ආවා ය.,මෙහි ඇය ආවා ය.
අපි නිවාස දුටිමු.,නිවාස අපි දුටිමු.
නුඹලා වැඩ කෙරූහුය.,වැඩ නුඹලා කෙරූහුය.
ඔවුහු පොත් කියවූවෝ ය.,පොත් ඔවුහු කියවූවෝ ය.
මම නිදාගත්තෙමි.,නිදාගත්තෙමි මම.
නුඹ හොඳින් හිටියෙහි.,හොඳින් නුඹ හිටියෙහි.
ඔහු මුදල් ගත්තේ ය.,මුදල් ඔහු ගත්තේ ය.
නුඹලා එතැන සිටියහුය.,එතැන නුඹලා සිටියහුය.
ඔවුහු එහි ගියෝ ය.,එහි ඔවුහු ගියෝ ය.
මම ගීත ගයන්නෙමි.,ගීත මම ගයන්නෙමි.
නුඹ පොත කියවන්නෙහි.,පොත නුඹ කියවන්නෙහි.
ඔහු එය දකින්නේ ය.,එය ඔහු දකින්නේ ය.
ඇය පිළිතුරු දෙන්නේ ය.,පිළිතුරු ඇය දෙන්නේ ය.
අපි වැඩ කරන්නෙමු.,වැඩ අපි කරන්නෙමු.
නුඹලා මෙහි එන්නවු.,මෙහි නුඹලා එන්නවු.
ඔවුහු සතුටු වන්නෝ ය.,සතුටු ඔවුහු වන්නෝ ය.
මම ඉක්මන් වන්නෙමි.,ඉක්මන් මම වන්නෙමි.
නුඹ පොත් ගන්නේ ය.,පොත් නුඹ ගන්නේ ය.
ඔහු එහි පවතින්නේ ය.,එහි ඔහු පවතින්නේ ය.
අපි කාරණා දැනගන්නෙමු.,කාරණා අපි දැනගන්නෙමු.
නුඹලා සත්‍යය කියන්නහු.,සත්‍යය නුඹලා කියන්නහු.
ගස හොඳින් වැඩේ.,හොඳින් ගස වැඩේ.
ජලය නිතර ගලයි.,නිතර ජලය ගලයි.
පොත එහි තිබේ.,එහි පොත තිබේ.
සීතල දැන් පැතිරෙයි.,දැන් සීතල පැතිරෙයි.
දොර ඉබේ හැරෙයි.,ඉබේ දොර හැරෙයි.
පාර දුර ය.,දුර ය පාර.
අහස නිතර නිල් වෙයි.,නිතර අහස නිල් වෙයි.
පලතුරු දැන් ඉදී ඇත.,දැන් පලතුරු ඉදී ඇත.
ගින්න සෙමින් නිවෙයි.,සෙමින් ගින්න නිවෙයි.
බෝල දැන් පෙරළෙයි.,දැන් බෝල පෙරළෙයි.
වලාකුළු අහසේ පාවෙයි.,අහසේ වලාකුළු පාවෙයි.
කාලය වේගයෙන් ගතවෙයි.,වේගයෙන් කාලය ගතවෙයි.
කාමරය දීප්තිමත් වේ.,දීප්තිමත් කාමරය වේ.
වීදුරුව ඉක්මනින් බිඳෙයි.,ඉක්මනින් වීදුරුව බිඳෙයි.
රූප සෙමින් මැකී යයි.,සෙමින් රූප මැකී යයි.
වැස්ස දැන් වැටෙයි.,දැන් වැස්ස වැටෙයි.
පහන දැන් දැල්වෙයි.,දැන් පහන දැල්වෙයි.
ශබ්දය නිතර ඇසෙයි.,නිතර ශබ්දය ඇසෙයි.
සතුට නිතර ඇති වෙයි.,නිතර සතුට ඇති වෙයි.
විද්‍යාව නිතර දියුණුවෙයි.,නිතර විද්‍යාව දියුණුවෙයි.
ගස හොඳින් වැඩුණේ ය.,හොඳින් ගස වැඩුණේ ය.
ජලය ඉක්මනින් ගලා ගියේ ය.,ඉක්මනින් ජලය ගලා ගියේ ය.
පොත එහි තිබුණේ ය.,එහි පොත තිබුණේ ය.
සීතල වේගයෙන් පැතිර ගියේ ය.,වේගයෙන් සීතල පැතිර ගියේ ය.
දොර ඉබේ විවර විය.,ඉබේ දොර විවර විය.
පාර හොඳින් තැනුවේ ය.,හොඳින් පාර තැනුවේ ය.
අහස නිල් පැහැ ගැන්විය.,නිල් අහස පැහැ ගැන්විය.
පලතුරු ඊයේ ඉදුණේ ය.,ඊයේ පලතුරු ඉදුණේ ය.
ගින්න ඉක්මනින් නිවුණේ ය.,ඉක්මනින් ගින්න නිවුණේ ය.
බෝල බිම පෙරළුණේ ය.,බිම බෝල පෙරළුණේ ය.
වලාකුළු ඉක්මනින් විසිර ගියේ ය.,ඉක්මනින් වලාකුළු විසිර ගියේ ය.
කාලය සෙමින් ගෙවී ගියේ ය.,සෙමින් කාලය ගෙවී ගියේ ය.
කාමරය පිරිසිදු කෙරිණි.,පිරිසිදු කාමරය කෙරිණි.
වීදුරුව ඊයේ බිඳුණේ ය.,ඊයේ වීදුරුව බිඳුණේ ය.
රූප වේගයෙන් මැකී ගියේ ය.,වේගයෙන් රූප මැකී ගියේ ය.
වැස්ස ඊයේ වැටුණේ ය.,ඊයේ වැස්ස වැටුණේ ය.
පහන ඉක්මනින් දැල්වුණේ ය.,ඉක්මනින් පහන දැල්වුණේ ය.
ශබ්දය පැහැදිලි ව ඇසුණේ ය.,පැහැදිලි ව ශබ්දය ඇසුණේ ය.
සතුට එතැන ඇති විය.,එතැන සතුට ඇති විය.
විද්‍යාව පෙර දියුණු විය.,පෙර විද්‍යාව දියුණු විය.
මම දරුවාට දුන්නෙමි.,දරුවාට මම දුන්නෙමි.
නුඹ අද සිතන්නෙහි.,අද නුඹ සිතන්නෙහි.
ඔහු පාඩම අවසන් කෙළේ ය.,පාඩම ඔහු අවසන් කෙළේ ය.
ඇය නිතර අඬයි.,නිතර ඇය අඬයි.
අපි සිනාසුණෙමු.,සිනාසුණෙමු අපි.
නුඹලා හෙට වාඩිවන්නවු.,හෙට නුඹලා වාඩිවන්නවු.
ඔවුහු හොඳින් නැටුවෝ ය.,හොඳින් ඔවුහු නැටුවෝ ය.
මම දැන් යනවා ඇත්තෙමි.,දැන් මම යනවා ඇත්තෙමි.
නුඹ එය පිළිගන්නෙහි.,එය නුඹ පිළිගන්නෙහි.
ඔහු අද කතා කරන්නේ ය.,අද ඔහු කතා කරන්නේ ය.
ඇය පිළිතුර දීමට ඇත.,පිළිතුර ඇය දීමට ඇත.
අපි එතැනට යන්නෙමු.,එතැනට අපි යන්නෙමු.
නුඹලා අද ඇසුවහුය.,අද නුඹලා ඇසුවහුය.
ඔවුහු එය දැනගන්නෝ ය.,එය ඔවුහු දැනගන්නෝ ය.
මම ඉක්මන් වන්නට ඇත.,ඉක්මන් මම වන්නට ඇත.
නුඹ පාර පෙන්වූයෙහි.,පාර නුඹ පෙන්වූයෙහි.
ඔහු සෙල්ලම් කරමින් සිටියේ ය.,සෙල්ලම් කරමින් ඔහු සිටියේ ය.
අපි හොඳින් දැන ගතිමු.,හොඳින් අපි දැන ගතිමු.
නුඹලා එය බාරගත්තවුය.,එය නුඹලා බාරගත්තවුය.
ඔවුහු කෑගසමින් සිටියෝ ය.,කෑගසමින් ඔවුහු සිටියෝ ය.
මල එහි වියළී ගියේ ය.,එහි මල වියළී ගියේ ය.
කරුණ පැහැදිලි වෙන්නේ ය.,පැහැදිලි කරුණ වෙන්නේ ය.
පහන් ඉක්මනින් දැල්වුණේ ය.,ඉක්මනින් පහන් දැල්වුණේ ය.
හඬ දුර ඇසෙයි.,දුර හඬ ඇසෙයි.
අදහස දැන් ඇති වෙයි.,දැන් අදහස ඇති වෙයි.
